"filename", "language", "JSON", "JSON with Comments", "Markdown", "SCSS", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\header\user-profil\user-profil.component.scss", "SCSS", 0, 0, 0, -131, 0, 0, 0, 0, -9, -140
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\header\user-profil\user-profil.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\header\user-profil\user-profil.component.ts", "TypeScript", 0, 0, 0, 0, -33, 0, 0, -1, -12, -46
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\impressum\impressum.component.html", "HTML", 0, 0, 0, 0, 0, -59, 0, 0, -1, -60
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\impressum\impressum.component.scss", "SCSS", 0, 0, 0, -152, 0, 0, 0, 0, -12, -164
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\impressum\impressum.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\impressum\impressum.component.ts", "TypeScript", 0, 0, 0, 0, -12, 0, 0, 0, -2, -14
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\interfaces\channel.ts", "TypeScript", 0, 0, 0, 0, -16, 0, 0, 0, -2, -18
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\interfaces\message.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -2, -20
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\interfaces\thread.ts", "TypeScript", 0, 0, 0, 0, -14, 0, 0, 0, -2, -16
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\interfaces\user.ts", "TypeScript", 0, 0, 0, 0, -15, 0, 0, 0, -2, -17
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\services\auth.service.spec.ts", "TypeScript", 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\services\auth.service.ts", "TypeScript", 0, 0, 0, 0, -218, 0, 0, 0, -19, -237
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\services\firebase.service.spec.ts", "TypeScript", 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\services\firebase.service.ts", "TypeScript", 0, 0, 0, 0, -924, 0, 0, 0, -94, -1018
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\services\sub.service.spec.ts", "TypeScript", 0, 0, 0, 0, -12, 0, 0, 0, -5, -17
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\services\sub.service.ts", "TypeScript", 0, 0, 0, 0, -41, 0, 0, -1, -7, -49
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\side-nav\side-nav.component.html", "HTML", 0, 0, 0, 0, 0, -66, 0, 0, -6, -72
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\side-nav\side-nav.component.scss", "SCSS", 0, 0, 0, -216, 0, 0, 0, -1, -24, -241
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\side-nav\side-nav.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\side-nav\side-nav.component.ts", "TypeScript", 0, 0, 0, 0, -131, 0, 0, -20, -19, -170
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\thread\thread.component.html", "HTML", 0, 0, 0, 0, 0, -171, 0, 0, -9, -180
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\thread\thread.component.scss", "SCSS", 0, 0, 0, -320, 0, 0, 0, 0, -34, -354
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\thread\thread.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\thread\thread.component.ts", "TypeScript", 0, 0, 0, 0, -379, 0, 0, -11, -73, -463
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\user-profil\profil-dialog\edit-profil-dialog\edit-profil-dialog.component.html", "HTML", 0, 0, 0, 0, 0, -32, 0, 0, -4, -36
